"age","sex","category","population"
0,"Miehet","v1990",47
0,"Miehet","v2010",27
0,"Miehet","v2024",18
1,"Miehet","v1990",32
1,"Miehet","v2010",36
1,"Miehet","v2024",17
2,"Miehet","v1990",55
2,"Miehet","v2010",37
2,"Miehet","v2024",26
3,"Miehet","v1990",49
3,"Miehet","v2010",32
3,"Miehet","v2024",23
4,"Miehet","v1990",44
4,"Miehet","v2010",32
4,"Miehet","v2024",28
5,"Miehet","v1990",59
5,"Miehet","v2010",36
5,"Miehet","v2024",18
6,"Miehet","v1990",64
6,"Miehet","v2010",40
6,"Miehet","v2024",22
7,"Miehet","v1990",56
7,"Miehet","v2010",36
7,"Miehet","v2024",25
8,"Miehet","v1990",67
8,"Miehet","v2010",28
8,"Miehet","v2024",42
9,"Miehet","v1990",56
9,"Miehet","v2010",45
9,"Miehet","v2024",26
10,"Miehet","v1990",55
10,"Miehet","v2010",37
10,"Miehet","v2024",22
11,"Miehet","v1990",51
11,"Miehet","v2010",49
11,"Miehet","v2024",36
12,"Miehet","v1990",61
12,"Miehet","v2010",41
12,"Miehet","v2024",28
13,"Miehet","v1990",67
13,"Miehet","v2010",29
13,"Miehet","v2024",23
14,"Miehet","v1990",70
14,"Miehet","v2010",34
14,"Miehet","v2024",40
15,"Miehet","v1990",65
15,"Miehet","v2010",45
15,"Miehet","v2024",32
16,"Miehet","v1990",50
16,"Miehet","v2010",54
16,"Miehet","v2024",42
17,"Miehet","v1990",40
17,"Miehet","v2010",42
17,"Miehet","v2024",34
18,"Miehet","v1990",50
18,"Miehet","v2010",52
18,"Miehet","v2024",30
19,"Miehet","v1990",62
19,"Miehet","v2010",41
19,"Miehet","v2024",41
20,"Miehet","v1990",62
20,"Miehet","v2010",31
20,"Miehet","v2024",21
21,"Miehet","v1990",42
21,"Miehet","v2010",21
21,"Miehet","v2024",28
22,"Miehet","v1990",47
22,"Miehet","v2010",39
22,"Miehet","v2024",18
23,"Miehet","v1990",66
23,"Miehet","v2010",34
23,"Miehet","v2024",26
24,"Miehet","v1990",60
24,"Miehet","v2010",30
24,"Miehet","v2024",24
25,"Miehet","v1990",61
25,"Miehet","v2010",33
25,"Miehet","v2024",36
26,"Miehet","v1990",63
26,"Miehet","v2010",40
26,"Miehet","v2024",26
27,"Miehet","v1990",55
